"part_id","hit_before_n","hit_during_n","hit_after_n","miss_n","false_alarm_n","corr_rej_n","hit_n","target","distractors","d_prime","auto_dprime$dprime","sl_aprime","task"
"blast_c_470",3,18,1,2,9,255,22,24,264,3.20679740487948,3.20679740487948,0.969133851887862,"lsl"
"blast_c_471",0,22,1,1,1,263,23,24,264,4.4020792809031,4.4020792809031,0.988555583943251,"lsl"
"blast_c_475",2,19,2,1,1,263,23,24,264,4.4020792809031,4.4020792809031,0.988555583943251,"lsl"
"blast_c_476",1,23,0,0,2,262,24,24,264,Inf,Inf,0.998106060606061,"lsl"
"blast_c_478",2,21,0,1,3,261,23,24,264,4.00965272915098,4.00965272915098,0.986499174655097,"lsl"
"blast_c_479",2,21,0,1,1,263,23,24,264,4.4020792809031,4.4020792809031,0.988555583943251,"lsl"
"blast_c_481",1,23,0,0,1,263,24,24,264,Inf,Inf,0.99905303030303,"lsl"
"blast_c_483",2,21,0,1,1,263,23,24,264,4.4020792809031,4.4020792809031,0.988555583943251,"lsl"
"blast_c_484",0,23,0,1,1,263,23,24,264,4.4020792809031,4.4020792809031,0.988555583943251,"lsl"
"blast_c_485",2,18,0,4,2,262,20,24,264,3.39615865279398,3.39615865279398,0.955742539902845,"lsl"
"blast_c_487",0,17,4,3,1,263,21,24,264,3.82076426515686,3.82076426515686,0.967548927624973,"lsl"
"blast_c_488",2,22,0,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_491",4,19,0,1,5,259,23,24,264,3.80782837135455,3.80782837135455,0.984441527919789,"lsl"
