"ans","subj","key","trial_order","corr","task"
1,"blast_c_096",1,11,1,"lsl"
1,"blast_c_096",1,12,1,"lsl"
2,"blast_c_096",1,13,0,"lsl"
1,"blast_c_096",1,14,1,"lsl"
2,"blast_c_096",1,15,0,"lsl"
1,"blast_c_096",1,16,1,"lsl"
1,"blast_c_096",2,17,0,"lsl"
2,"blast_c_096",2,18,1,"lsl"
2,"blast_c_096",2,19,1,"lsl"
1,"blast_c_096",2,20,0,"lsl"
1,"blast_c_096",2,21,0,"lsl"
1,"blast_c_096",2,22,0,"lsl"
2,"blast_c_096",2,23,1,"lsl"
1,"blast_c_096",2,24,0,"lsl"
2,"blast_c_096",2,25,1,"lsl"
1,"blast_c_096",2,26,0,"lsl"
1,"blast_c_096",2,27,0,"lsl"
2,"blast_c_096",2,28,1,"lsl"
1,"blast_c_096",2,29,0,"lsl"
2,"blast_c_096",2,30,1,"lsl"
1,"blast_c_096",2,31,0,"lsl"
1,"blast_c_096",2,32,0,"lsl"
1,"blast_c_097",1,1,1,"lsl"
2,"blast_c_097",1,2,0,"lsl"
2,"blast_c_097",1,3,0,"lsl"
1,"blast_c_097",1,4,1,"lsl"
2,"blast_c_097",1,5,0,"lsl"
2,"blast_c_097",1,6,0,"lsl"
1,"blast_c_097",1,7,1,"lsl"
1,"blast_c_097",1,8,1,"lsl"
1,"blast_c_097",1,9,1,"lsl"
1,"blast_c_097",1,10,1,"lsl"
2,"blast_c_097",1,11,0,"lsl"
2,"blast_c_097",1,12,0,"lsl"
1,"blast_c_097",1,13,1,"lsl"
1,"blast_c_097",1,14,1,"lsl"
2,"blast_c_097",1,15,0,"lsl"
1,"blast_c_097",1,16,1,"lsl"
1,"blast_c_097",2,17,0,"lsl"
1,"blast_c_097",2,18,0,"lsl"
1,"blast_c_097",2,19,0,"lsl"
1,"blast_c_097",2,20,0,"lsl"
1,"blast_c_097",2,21,0,"lsl"
1,"blast_c_097",2,22,0,"lsl"
2,"blast_c_097",2,23,1,"lsl"
1,"blast_c_097",2,24,0,"lsl"
1,"blast_c_097",2,25,0,"lsl"
1,"blast_c_097",2,26,0,"lsl"
2,"blast_c_097",2,27,1,"lsl"
1,"blast_c_097",2,28,0,"lsl"
2,"blast_c_097",2,29,1,"lsl"
1,"blast_c_097",2,30,0,"lsl"
1,"blast_c_097",2,31,0,"lsl"
1,"blast_c_097",2,32,0,"lsl"
2,"blast_c_109",1,1,0,"lsl"
1,"blast_c_109",1,2,1,"lsl"
2,"blast_c_109",1,3,0,"lsl"
1,"blast_c_109",1,4,1,"lsl"
2,"blast_c_109",1,5,0,"lsl"
1,"blast_c_109",1,6,1,"lsl"
1,"blast_c_109",1,7,1,"lsl"
2,"blast_c_109",1,8,0,"lsl"
1,"blast_c_109",1,9,1,"lsl"
1,"blast_c_109",1,10,1,"lsl"
2,"blast_c_109",1,11,0,"lsl"
2,"blast_c_109",1,12,0,"lsl"
1,"blast_c_109",1,13,1,"lsl"
2,"blast_c_109",1,14,0,"lsl"
1,"blast_c_109",1,15,1,"lsl"
2,"blast_c_109",1,16,0,"lsl"
1,"blast_c_109",2,17,0,"lsl"
2,"blast_c_109",2,18,1,"lsl"
1,"blast_c_109",2,19,0,"lsl"
2,"blast_c_109",2,20,1,"lsl"
1,"blast_c_109",2,21,0,"lsl"
1,"blast_c_109",2,22,0,"lsl"
2,"blast_c_109",2,23,1,"lsl"
1,"blast_c_109",2,24,0,"lsl"
2,"blast_c_109",2,25,1,"lsl"
1,"blast_c_109",2,26,0,"lsl"
2,"blast_c_109",2,27,1,"lsl"
1,"blast_c_109",2,28,0,"lsl"
2,"blast_c_109",2,29,1,"lsl"
1,"blast_c_109",2,30,0,"lsl"
2,"blast_c_109",2,31,1,"lsl"
1,"blast_c_109",2,32,0,"lsl"
1,"blast_c_112",1,1,1,"lsl"
2,"blast_c_112",1,2,0,"lsl"
2,"blast_c_112",1,3,0,"lsl"
1,"blast_c_112",1,4,1,"lsl"
2,"blast_c_112",1,5,0,"lsl"
1,"blast_c_112",1,6,1,"lsl"
1,"blast_c_112",1,7,1,"lsl"
2,"blast_c_112",1,8,0,"lsl"
2,"blast_c_112",1,9,0,"lsl"
2,"blast_c_112",1,10,0,"lsl"
2,"blast_c_112",1,11,0,"lsl"
1,"blast_c_112",1,12,1,"lsl"
1,"blast_c_112",1,13,1,"lsl"
1,"blast_c_112",1,14,1,"lsl"
1,"blast_c_112",1,15,1,"lsl"
1,"blast_c_112",1,16,1,"lsl"
2,"blast_c_112",2,17,1,"lsl"
2,"blast_c_112",2,18,1,"lsl"
1,"blast_c_112",2,19,0,"lsl"
1,"blast_c_112",2,20,0,"lsl"
2,"blast_c_112",2,21,1,"lsl"
2,"blast_c_112",2,22,1,"lsl"
2,"blast_c_112",2,23,1,"lsl"
1,"blast_c_112",2,24,0,"lsl"
2,"blast_c_112",2,25,1,"lsl"
1,"blast_c_112",2,26,0,"lsl"
2,"blast_c_112",2,27,1,"lsl"
2,"blast_c_112",2,28,1,"lsl"
1,"blast_c_112",2,29,0,"lsl"
2,"blast_c_112",2,30,1,"lsl"
1,"blast_c_112",2,31,0,"lsl"
2,"blast_c_112",2,32,1,"lsl"
1,"blast_c_118",1,1,1,"lsl"
1,"blast_c_118",1,2,1,"lsl"
1,"blast_c_118",1,3,1,"lsl"
1,"blast_c_118",1,4,1,"lsl"
2,"blast_c_118",1,5,0,"lsl"
2,"blast_c_118",1,6,0,"lsl"
1,"blast_c_118",1,7,1,"lsl"
1,"blast_c_118",1,8,1,"lsl"
1,"blast_c_118",1,9,1,"lsl"
2,"blast_c_118",1,10,0,"lsl"
1,"blast_c_118",1,11,1,"lsl"
1,"blast_c_118",1,12,1,"lsl"
2,"blast_c_118",1,13,0,"lsl"
